user_id,age_range,state,city,salary_range,job_role,sector,company_size,orders_food_delivery,food_delivery_freq_week,food_delivery_platform,primary_device,plays_other_word_games,typical_play_time,newsletter_subscriber,job_role_raw,is_senior,is_dados
fe2e4f159653f26f,,MG,,R$4k-R$6k,consultor,finanças,pequena,True,5,Rappi,Android,True,afternoon,True,Consultor,False,False
4d89d721da20cbc3,35-44,MG,Rio de Janeiro,R$4k-R$6k,analista,educação,multinacional,True,3,Ambos,iOS,True,morning,True,analista,False,False
91bf47f1274e23a8,25-34,PB,,,coordenador,tech,pequena,True,3,Nenhum,Android,True,morning,True,Coordenador,False,False
4efe31b67538c37f,25-34,PB,,até R$2k,gerente,finanças,grande,True,5,Nenhum,iOS,False,afternoon,False,Gerente,False,False
d6af92f33a83c685,18-24,RN,Belo Horizonte,até R$2k,consultor,outros,pequena,False,0,Nenhum,Android,True,evening,False,consultor,False,False
ea768abe252a9c4d,,PE,,R$2k-R$4k,consultor,outros,média,True,7,Rappi,iOS,False,evening,True,Consultor Sênior,True,False
ae8b6125edd6a029,35-44,MS,,R$2k-R$4k,desenvolvedor,outros,grande,False,0,Nenhum,Android,False,morning,True,desenvolvedor,False,False
4517373ef63e1ba1,35-44,SC,,acima de R$10k,coordenador,varejo,grande,False,0,Nenhum,Android,True,morning,True,Coordenador,False,False
32af28a305491283,45+,AL,Belo Horizonte,,estudante,varejo,média,True,7,Ambos,Android,True,morning,True,Estudante,,
176df4d7bd105b74,45+,MS,Brasília,R$6k-R$10k,analista,educação,MEI/micro,True,7,Rappi,iOS,True,night,True,Analista,False,False
b9db263d2c7d92d4,,GO,Curitiba,até R$2k,professor,tech,grande,True,1,Rappi,Android,False,night,True,professor,,False
c0f08bbb1f3c2556,18-24,RJ,São Paulo,R$6k-R$10k,consultor,varejo,multinacional,True,5,Ambos,iOS,True,evening,True,Consultor,False,False
fec201f39f00456b,35-44,AM,,R$4k-R$6k,consultor,educação,multinacional,False,0,Nenhum,Android,True,afternoon,True,Consultor Sênior,True,False
